year,name,count
2009,Hong Kong,144150
2009,Taiwan,99140
2009,Japan,354000
2009,South Korea,185710
2009,Bangladesh,5120
2009,India,119420
2009,Nepal,3930
2009,Pakistan,6480
2009,Sri Lanka,13200
2009,Canada,133450
2009,United States of America,484340
2009,Argentina,7860
2009,Brazil,27060
2009,Chile,10260
2009,Colombia,6470
2009,Mexico,7040
2009,South Africa,59500
2010,New Zealand,1150210
2010,New Caledonia,46450
2010,Papua New Guinea,47300
2010,Vanuatu,9860
2010,Fiji,30700
2010,United Kingdom,673430
2010,Ireland,55300
2010,Austria,17050
2010,Belgium,17950
2010,France,107270
2010,Germany,166210
2010,Netherlands,53630
2010,Switzerland,47270
2010,Denmark,23920
2010,Finland,12450
2010,Norway,19930
2010,Sweden,36480
2010,Italy,58800
2010,Spain,23920
2010,Poland,9370
2010,Russia,14730
2010,Iran,7430
2010,Israel,15210
2010,Saudi Arabia,13460
2010,United Arab Emirates,33630
2010,Cambodia,5450
2010,Thailand,74860
2010,Vietnam,35660
2010,Indonesia,121880
2010,Malaysia,226410
2010,Philippines,59070
2010,Singapore,265100
2010,China,451810
2010,Hong Kong,150550
2010,Taiwan,87670
2010,Japan,396370
2010,South Korea,218610
2010,Bangladesh,6270
2010,India,138560
2010,Nepal,4640
2010,Pakistan,8250
2010,Sri Lanka,16350
2010,Canada,135490
2010,United States of America,479280
2010,Argentina,7940
2010,Brazil,28580
2010,Chile,9640
2010,Colombia,6570
2010,Mexico,6680
2010,South Africa,60880
2011,New Zealand,1166830
2011,New Caledonia,41990
2011,Papua New Guinea,50070
2011,Vanuatu,10220
2011,Fiji,29040
2011,United Kingdom,637360
2011,Ireland,60670
2011,Austria,15130
2011,Belgium,17330
2011,France,105820
2011,Germany,160410
2011,Netherlands,50320
2011,Switzerland,46300
2011,Denmark,23410
2011,Finland,12570
2011,Norway,19190
2011,Sweden,36690
2011,Italy,57910
2011,Spain,23910
2011,Poland,9170
2011,Russia,15910
2011,Iran,8670
2011,Israel,13080
2011,Saudi Arabia,13370
2011,United Arab Emirates,27710
2011,Cambodia,5120
2011,Thailand,75680
2011,Vietnam,32960
2011,Indonesia,136930
2011,Malaysia,228000
2011,Philippines,65890
2011,Singapore,266190
2011,China,540540
2011,Hong Kong,154000
2011,Taiwan,86270
2011,Japan,332280
2011,South Korea,204480
2011,Bangladesh,7170
2011,India,149180
2011,Nepal,4540
2011,Pakistan,9110
2011,Sri Lanka,17020
2011,Canada,130820
2011,United States of America,469270
2011,Argentina,8840
2011,Brazil,30890
2011,Chile,10560
2011,Colombia,7240
2011,Mexico,6670
2011,South Africa,63550
2012,New Zealand,1193120
2012,New Caledonia,39080
2012,Papua New Guinea,56450
2012,Vanuatu,9300
2012,Fiji,29720
2012,United Kingdom,625980
2012,Ireland,62550
2012,Austria,15620
2012,Belgium,18040
2012,France,110880
2012,Germany,160740
2012,Netherlands,46810
2012,Switzerland,47120
2012,Denmark,23900
2012,Finland,13990
2012,Norway,20450
2012,Sweden,39070
2012,Italy,65620
2012,Spain,25370
2012,Poland,9920
2012,Russia,19090
2012,Iran,9370
2012,Israel,11110
2012,Saudi Arabia,13650
2012,United Arab Emirates,27650
2012,Cambodia,5050
2012,Thailand,71950
2012,Vietnam,36940
2012,Indonesia,141860
2012,Malaysia,247630
2012,Philippines,74300
2012,Singapore,287310
2012,China,628100
2012,Hong Kong,162890
2012,Taiwan,98340
2012,Japan,352570
2012,South Korea,205270
2012,Bangladesh,7730
2012,India,164260
2012,Nepal,6460
2012,Pakistan,10150
2012,Sri Lanka,19220
2012,Canada,136290
2012,United States of America,500360
2012,Argentina,13210
2012,Brazil,33020
2012,Chile,13630
2012,Colombia,8730
2012,Mexico,6660
2012,South Africa,57040
2013,New Zealand,1201250
2013,New Caledonia,38860
2013,Papua New Guinea,56600
2013,Vanuatu,9950
2013,Fiji,30540
2013,United Kingdom,668230
2013,Ireland,63700
2013,Austria,16130
2013,Belgium,19070
2013,France,114800
2013,Germany,170090
2013,Netherlands,45540
2013,Switzerland,48980
2013,Denmark,23970
2013,Finland,13640
2013,Norway,20540
2013,Sweden,40670
2013,Italy,71670
2013,Spain,25870
2013,Poland,11580
2013,Russia,20030
2013,Iran,7120
2013,Israel,12310
2013,Saudi Arabia,13600
2013,United Arab Emirates,32340
2013,Cambodia,5070
2013,Thailand,78590
2013,Vietnam,40900
2013,Indonesia,146790
2013,Malaysia,281390
2013,Philippines,74550
2013,Singapore,333140
2013,China,720760
2013,Hong Kong,182970
2013,Taiwan,109320
2013,Japan,330800
2013,South Korea,198870
2013,Bangladesh,8110
2013,India,176830
2013,Nepal,6500
2013,Pakistan,10260
2013,Sri Lanka,19150
2013,Canada,136290
2013,United States of America,516250
2013,Argentina,14930
2013,Brazil,36430
2013,Chile,15930
2013,Colombia,10250
2013,Mexico,7680
2013,South Africa,54770
2014,New Zealand,1244800
2014,New Caledonia,43050
2014,Papua New Guinea,53980
2014,Vanuatu,8690
2014,Fiji,31750
2014,United Kingdom,657190
2014,Ireland,61690
2014,Austria,16870
2014,Belgium,21550
2014,France,123520
2014,Germany,183740
2014,Netherlands,46740
2014,Switzerland,52040
2014,Denmark,24580
2014,Finland,14070
2014,Norway,22010
2014,Sweden,42470
2014,Italy,74220
2014,Spain,29650
2014,Poland,13550
2014,Russia,19710
2014,Iran,7750
2014,Israel,11740
2014,Saudi Arabia,15240
2014,United Arab Emirates,35340
2014,Cambodia,5110
2014,Thailand,76780
2014,Vietnam,48100
2014,Indonesia,155000
2014,Malaysia,326730
2014,Philippines,81820
2014,Singapore,362680
2014,China,851030
2014,Hong Kong,201340
2014,Taiwan,120120
2014,Japan,333750
2014,South Korea,202820
2014,Bangladesh,10250
2014,India,200100
2014,Nepal,8110
2014,Pakistan,10880
2014,Sri Lanka,21300
2014,Canada,140110
2014,United States of America,561700
2014,Argentina,11290
2014,Brazil,44700
2014,Chile,16780
2014,Colombia,10760
2014,Mexico,8450
2014,South Africa,53850
2015,New Zealand,1311950
2015,New Caledonia,48630
2015,Papua New Guinea,53660
2015,Vanuatu,9360
2015,Fiji,32020
2015,United Kingdom,688190
2015,Ireland,58120
2015,Austria,16880
2015,Belgium,20300
2015,France,124700
2015,Germany,185280
2015,Netherlands,46030
2015,Switzerland,52990
2015,Denmark,25090
2015,Finland,14450
2015,Norway,21250
2015,Sweden,43590
2015,Italy,73370
2015,Spain,35070
2015,Poland,15420
2015,Russia,13950
2015,Iran,9360
2015,Israel,12880
2015,Saudi Arabia,14880
2015,United Arab Emirates,38830
2015,Cambodia,6640
2015,Thailand,78110
2015,Vietnam,57330
2015,Indonesia,157530
2015,Malaysia,340680
2015,Philippines,95240
2015,Singapore,387150
2015,China,1031900
2015,Hong Kong,217880
2015,Taiwan,131230
2015,Japan,341990
2015,South Korea,226780
2015,Bangladesh,11540
2015,India,235790
2015,Nepal,10570
2015,Pakistan,11460
2015,Sri Lanka,26960
2015,Canada,141570
